0 0.4 4.7993
0.126659 0.394908 4.7993
0.253318 0.379742 4.79931
0.379977 0.354842 4.79932
0.506636 0.320784 4.79933
0.633294 0.278394 4.79935
0.759953 0.228754 4.79936
0.886612 0.173196 4.79938
1.01327 0.113275 4.79938
1.13993 0.0507258 4.79939
1.26659 -0.0126097 4.79939
1.39325 -0.0748614 4.79938
1.51991 -0.134219 4.79937
1.64657 -0.189015 4.79935
1.77322 -0.237788 4.79934
1.89988 -0.279331 4.79932
2.02654 -0.312716 4.7993
2.1532 -0.337293 4.79929
2.27986 -0.352684 4.79928
2.40652 -0.358767 4.79927
2.53318 -0.355654 4.79927
2.65984 -0.343674 4.79927
2.7865 -0.323363 4.79927
2.91315 -0.295449 4.79928
3.03981 -0.260841 4.79928
3.16647 -0.220613 4.79928
3.29313 -0.175982 4.79929
3.41979 -0.12827 4.79929
3.54645 -0.0788636 4.79929
3.67311 -0.029165 4.79928
3.79977 0.0194648 4.79928
3.92643 0.0657562 4.79927
4.05308 0.108576 4.79926
4.17974 0.146964 4.79925
4.3064 0.180149 4.79923
4.43306 0.207564 4.79922
4.55972 0.228841 4.7992
4.68638 0.243798 4.79919
4.81304 0.252427 4.79918
4.9397 0.254872 4.79917
5.06636 0.251411 4.79916
5.19301 0.242438 4.79915
5.31967 0.228445 4.79914
5.44633 0.210007 4.79914
5.57299 0.187764 4.79913
5.69965 0.162409 4.79913
5.82631 0.134666 4.79912
5.95297 0.105276 4.79912
6.07963 0.0749806 4.79911
6.20629 0.0444983 4.7991
6.33294 0.0145127 4.79909
6.4596 -0.014346 4.79908
6.58626 -0.041513 4.79907
6.71292 -0.0664994 4.79906
6.83958 -0.0888985 4.79905
6.96624 -0.108389 4.79904
7.0929 -0.124735 4.79902
7.21956 -0.137783 4.79901
7.34622 -0.147459 4.79899
7.47287 -0.15376 4.79898
7.59953 -0.156751 4.79896
7.72619 -0.156553 4.79895
7.85285 -0.153341 4.79894
7.97951 -0.147332 4.79892
8.10617 -0.138784 4.79891
8.23283 -0.127984 4.7989
8.35949 -0.115244 4.79889
8.48615 -0.100895 4.79887
8.6128 -0.085278 4.79886
8.73946 -0.068742 4.79885
8.86612 -0.0516337 4.79884
8.99278 -0.034293 4.79882
9.11944 -0.0170472 4.79881
9.2461 -0.000205569 4.7988
9.37276 0.0159454 4.79878
9.49942 0.0311462 4.79877
9.62608 0.0451674 4.79875
9.75273 0.0578121 4.79874
9.87939 0.0689176 4.79872
10.0061 0.0783561 4.79871
10.1327 0.086035 4.79869
10.2594 0.091896 4.79867
10.386 0.0959146 4.79865
10.5127 0.0980978 4.79864
10.6393 0.0984832 4.79862
10.766 0.0971358 4.7986
10.8927 0.0941467 4.79858
11.0193 0.0896299 4.79857
11.146 0.0837195 4.79855
11.2726 0.0765675 4.79853
11.3993 0.0683401 4.79851
11.526 0.0592151 4.7985
11.6526 0.0493785 4.79848
11.7793 0.0390214 4.79846
11.9059 0.0283365 4.79844
12.0326 0.0175152 4.79843
12.1593 0.00674453 4.79841
12.2859 -0.00379614 4.79839
12.4126 -0.0139375 4.79837
12.5392 -0.0235226 4.79835
12.6659 -0.0324097 4.79833
12.7925 -0.0404731 4.79831
12.9192 -0.0476052 4.79829
13.0459 -0.0537175 4.79827
13.1725 -0.0587411 4.79825
13.2992 -0.0626271 4.79823
13.4258 -0.0653467 4.79821
13.5525 -0.066891 4.79818
13.6792 -0.0672702 4.79816
13.8058 -0.066513 4.79814
13.9325 -0.0646653 4.79812
14.0591 -0.0617892 4.7981
14.1858 -0.0579617 4.79807
14.3125 -0.0532723 4.79805
14.4391 -0.0478224 4.79803
14.5658 -0.0417225 4.79801
14.6924 -0.0350904 4.79799
14.8191 -0.0280495 4.79796
14.9457 -0.0207264 4.79794
15.0724 -0.0132489 4.79792
15.1991 -0.00574375 4.7979
15.3257 0.00166524 4.79787
15.4524 0.00885909 4.79785
15.579 0.0157255 4.79782
15.7057 0.0221606 4.7978
15.8324 0.0280701 4.79778
15.959 0.033371 4.79775
16.0857 0.037992 4.79773
16.2123 0.0418748 4.7977
16.339 0.0449747 4.79768
16.4657 0.0472603 4.79765
16.5923 0.0487146 4.79762
16.719 0.0493338 4.7976
16.8456 0.0491279 4.79757
16.9723 0.0481199 4.79755
17.099 0.0463448 4.79752
17.2256 0.0438493 4.79749
17.3523 0.0406903 4.79747
17.4789 0.0369343 4.79744
17.6056 0.0326556 4.79741
17.7322 0.0279354 4.79738
17.8589 0.0228601 4.79736
17.9856 0.0175198 4.79733
18.1122 0.0120071 4.7973
18.2389 0.00641516 4.79728
18.3655 0.000836463 4.79725
18.4922 -0.00463874 4.79722
18.6189 -0.00992384 4.79719
18.7455 -0.0149372 4.79716
18.8722 -0.0196032 4.79713
